"id","title","author","genre_sugerido","confianca","assuntos_encontrados"
"c24b1be5-8438-4916-a371-fd4f28a570ad","12 Regras Para a Vida","Jordan B. Peterson","SEM SUGESTÃO","0",""
"639e9729-eda6-4fe5-bcb4-7e4ade7f7eed","1499: O Brasil Antes de Cabral","Reinaldo Jose Lopes","SEM SUGESTÃO","0",""
"1080f3d9-250d-4393-a680-0d0dac6522ec","2001: Uma Odisseia no Espaco","Arthur C. Clarke","SEM SUGESTÃO","0",""
"81c79785-a995-4a43-a835-0f2c6ce84070","20th Century Boys Vol. 1","Naoki Urasawa","SEM SUGESTÃO","0",""
"c417d832-0338-4d41-8806-558905bf0cf2","21 Licoes para o Seculo 21","Yuval Noah Harari","SEM SUGESTÃO","0",""
"f887e46a-41b0-4450-993a-5d2e9bdae89b","A Arte da Guerra","Sun Tzu","SEM SUGESTÃO","0",""
"8b776ca4-dc81-4360-912a-c6b17831f219","A Assombracao da Casa da Colina","Shirley Jackson","SEM SUGESTÃO","0",""
"b8e9a89e-a80b-4dc1-bb5d-0f8ac6592c47","A Batalha do Labirinto","Rick Riordan","SEM SUGESTÃO","0",""
"2be045c5-78dc-49f4-b3e2-96269b87dba8","A Biblioteca da Meia-Noite","Matt Haig","SEM SUGESTÃO","0",""
"229b351d-29ef-42bf-b82b-0cfe074407e1","A Bússola de Ouro","Philip Pullman","SEM SUGESTÃO","0",""
"d7203bbe-bd47-442c-9004-0a3e464b2301","A Cancao de Aquiles","Madeline Miller","SEM SUGESTÃO","0",""
"57b958e4-ad21-4118-8440-5642dcefbf2b","A Casa dos Espiritos","Isabel Allende","SEM SUGESTÃO","0",""
"ca3f9e19-25f1-46fd-b576-c7275affb390","A Catedral do Mar","Ildefonso Falcones","SEM SUGESTÃO","0",""
"c8b19c38-ef48-4678-b289-1b7f443507ea","A Cidade do Sol","Khaled Hosseini","SEM SUGESTÃO","0",""
"c4712b33-f41e-4aa5-ab85-9f12d0fdf2e1","A Cinco Passos de Voce","Rachael Lippincott","SEM SUGESTÃO","0",""
"a1542472-bc44-4d28-bab7-e47dd2f68120","A Cor Purpura","Alice Walker","SEM SUGESTÃO","0",""
"2a9ef953-8dea-44e2-a8ef-eda466e89460","A Coroa de Ossos Dourados","Jennifer L. Armentrout","SEM SUGESTÃO","0",""
"b8e5254b-17e0-4e86-8220-a37b07fee238","A Culpa e das Estrelas","John Green","SEM SUGESTÃO","0",""
"aaf9cc97-8202-40dc-8388-b558212fcf1d","A Entidade","Frank De Felitta","SEM SUGESTÃO","0",""
"2239cd11-5a38-4e0f-b60c-b90e2c2c9814","A Era dos Extremos","Eric Hobsbawm","SEM SUGESTÃO","0",""
"60e6b52c-0cc9-4285-acb8-37e6f59f5362","A Estrada da Noite","Joe Hill","SEM SUGESTÃO","0",""
"32abe94a-d5e2-4cbb-a990-fe3f3835b331","A Estrategia do Oceano Azul","W. Chan Kim e Renee Mauborgne","SEM SUGESTÃO","0",""
"13b01d55-88a2-451b-a259-c5cd69cd9d0c","A Estrutura das Revolucoes Cientificas","Thomas Kuhn","SEM SUGESTÃO","0",""
"47e4d0fb-f57b-4e22-80bc-1c6067212d1b","A Garota no Trem","Paula Hawkins","SEM SUGESTÃO","0",""
"edf080d4-a66a-4772-98b3-d33b47a7df75","A Guerra dos Mundos","H. G. Wells","SEM SUGESTÃO","0",""
"bbd9b7ca-0237-439e-a538-1f152b594b6d","A Guerra dos Mundos","H.G. Wells","SEM SUGESTÃO","0",""
"042e36e7-494c-4fdb-be7f-72ba080cf0b4","A Hipotese do Amor","Ali Hazelwood","SEM SUGESTÃO","0",""
"be41e1d5-b3a8-42fc-aa32-79d64cd02f9f","A Hora da Estrela","Clarice Lispector","Romance","1","Fiction, psychological | Rio de janeiro (brazil), fiction | Fiction | Brazil | Macabea | Rio de Janeiro | Fiction, general | Romance literature | Romance brasileiro | Fiction, women | Fiction, hispanic & latino | Portuguese fiction | Translations into English | Manuscripts | Facsimiles | Hora da estrela (Lispector, Clarice)"
"0ed14b71-6f04-48ed-ad63-8c6ae9eb9050","A Hora do Vampiro","Stephen King","SEM SUGESTÃO","0",""
"52ef2e3e-3e6d-495a-9004-c3cdb0cf058c","A Mao Esquerda da Escuridao","Ursula K. Le Guin","SEM SUGESTÃO","0",""
"05b06949-0b9c-4e09-9b23-a1bec0ea7da3","A Maquina do Tempo","H.G. Wells","SEM SUGESTÃO","0",""
"b329fac9-4f5e-4a84-a789-33953d1d9a22","A Menina que Roubava Livros","Markus Zusak","SEM SUGESTÃO","0",""
"a7fbd729-f099-4d51-aea7-531347e4b9e5","A Meta","Eliyahu M. Goldratt","SEM SUGESTÃO","0",""
"6dcf45e9-aff4-4cb4-a1d9-7cb859a92666","A Metamorfose","Franz Kafka","SEM SUGESTÃO","0",""
"2b1e388f-0051-427d-a1cc-e945e0ce6073","A Mulher na Janela","A. J. Finn","SEM SUGESTÃO","0",""
